"","a","b","c","d","e","f","g","h","i","j","k","l","m","n","o","p","q","r","s","t","u","v","w","x","y","z"
"q",0.000238305681487922,0.00000666476611767981,0.00134617615366527,0.000322594381063225,0.00546501999474746,0.00000295499414183446,0.00000772305664765059,0.0000745788373560017,0.00120667443849163,0,0.0000140834695272362,0.0000300511354303401,0.00000917745300397538,0.000889939908712502,0.000121172799509469,0.0000149136921337654,0.000407712302243261,0.000156502538208939,0.00154214593303121,0.00000954257005256038,0.0000766632700548369,0.00000573351756542255,0,0.00115186135089623,0.0000262103456632347,0.00030808097608938
"r",0.114131421892618,0.0605033283816045,0.0367508334357387,0.0390035404462414,0.195518348667089,0.118872122947663,0.123982034342753,0.0148814614585452,0.0336446012027649,0.00124560729602113,0.00577227999495671,0.00237706260201897,0.00113458058289446,0.00136882143474059,0.149225284862442,0.185593898089887,0.00041535735884865,0.0189261655564235,0.00124092427163975,0.0455131138599126,0.162143822584182,0.000665355836625151,0.0161805984426033,0.000127068844699652,0.0149612618763209,0.00179527464277544
"s",0.0924918228244978,0.0248567289375784,0.00561211332534154,0.0576315835967929,0.127852635430398,0.0030720617431191,0.0322548151656378,0.00258935131623006,0.120459702948018,0.000605656434722803,0.10075776328097,0.0334670622355161,0.0339101137496484,0.0761214733633545,0.0338966309815184,0.021346048571027,0.00105929776692349,0.0621546383144378,0.0839185345139332,0.0360718919246456,0.135707557960802,0.000438069014163675,0.0184545031103762,0.000252726418608643,0.185935540284735,0.00283298610292774
"t",0.157859440258499,0.00927613475664441,0.113351859118924,0.00132172949113477,0.0393857676954135,0.0455353414236298,0.00970460060419352,0.0229564864548883,0.119909285188798,0.000530848439716197,0.00219118664237704,0.0292394064907796,0.000499259187550652,0.155739318226802,0.0516811373737454,0.0413777069724572,0.000329915409956057,0.0566918542202886,0.218246220598083,0.0182432138912023,0.121037390828418,0.000166517343698311,0.00344084200200455,0.184239523854051,0.0320361286501251,0.00223623181211363
"u",0.0126387562252175,0.100302565030927,0.0399863903311487,0.0677647995908194,0.00297370301706233,0.0535147778175038,0.0540400116322769,0.01299470368814,0.00185840721924182,0.30113472414841,0.00641690902668727,0.0319714438892372,0.041867876132058,0.0117628045547338,0.101701818489151,0.0408919145954237,0.990616069245299,0.0201152049901057,0.0644657539302883,0.0272453001070933,0.000233165310749485,0.001680408702466,0.000365668432255959,0.0188386251379904,0.00254939607380986,0.0204792705187117
"v",0.0217595009768424,0.00208470022318109,0.000051186021209671,0.00869658824257215,0.0243205326807724,0.0000159643840307872,0.0000266437231289857,0.0000393551850686218,0.0307277496639876,0.000312872102349119,0.000332072690015952,0.00825503171330065,0.000105873115374188,0.00777867838177749,0.0208180197591089,0.0000863164601527311,0.0001513281163495,0.0108599814453179,0.000257190656651065,0.000124354960294094,0.00087147209912124,0.0000706419217455359,0.00000725908005454516,0.00771265718645284,0.000348381884736586,0.00155846554206943
"w",0.00636183654418671,0.00016002603422375,0.0000340916163066105,0.00372572453026689,0.0111497659222166,0.000127579316141207,0.000408044121843901,0.000841857131248963,0.0000666772897418072,0.00021211632803032,0.00461946540515134,0.00298901934847846,0.000213304518284498,0.000867054623197862,0.0386323312900056,0.000472187034688982,0.0000388829683924233,0.00199968392851022,0.00487428539389901,0.00880422530548956,0.0000829014227868397,0.0000199916748169929,0.000137629302130518,0.000881172527486147,0.00647425590275985,0.00211878672913706
"x",0.00200034246602762,0.0000149761721992695,0.00000764585374489827,0.0000209842319813675,0.0204317550044311,0.0000160596802682864,0.000012446977769023,0.00000165098587232364,0.00235191148799168,0.0000294273986408126,0.000041776251117573,0.0000722353665716767,0.0000128813444423888,0.000392001327716094,0.00217143472858316,0.0000204407874626692,0.0000379812107968148,0.00018339761241606,0.00000370134075062752,0.000012618670995006,0.00117550296560924,0.0000121173272582196,0.00000281012955331995,0.0110723066132779,0.000286780878228259,0.0000365174599427592
"y",0.0230791109634983,0.0957058221607543,0.0102585081413412,0.0230154188269818,0.0137213347066423,0.00507300706561906,0.0163437674649359,0.00883252123161862,0.0000236527917612981,0.000203803338069921,0.0126182542162418,0.100513058198326,0.0227154631330917,0.0146454542842153,0.00422953167691711,0.00460150577315239,0,0.0388326315184609,0.0117763935845376,0.0242921521851653,0.00136446402493705,0.0037194816345021,0.00127542114722706,0.0101729458048457,0.000135723843886446,0.0224297011758714
"z",0.00126024980717416,0.0000193760341899753,0.000179663653302846,0.0000356251659624628,0.000431768862923957,0.0000052178595614297,0.0000766709072028529,0.0000671032197043413,0.00686825803909774,0.0000401477044516928,0.0000113394637203519,0.0000987000725679267,0.0000125697568907931,0.000653478630151289,0.000405897128373522,0.0000885375140445857,0,0.000100025322812175,0.0000517323961928956,0.000411389391070966,0.000570798471013359,0.0000135000936553189,0,0.0000191176919638676,0.00347975486204531,0.0253111087477354
