,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z
k,0.10469932031918583,9.361016317438013e-05,0.11762612425566196,0.0003367078791524467,0.016471802226078754,0.00011679438886026663,0.00026027558527741873,0.00023391484507224056,0.042912743721832854,6.17142222023578e-05,0.00045334015643291626,0.019714520156759115,0.00014033177733583133,0.05160546485769444,0.06431180495439352,0.0008192278007617351,0.0,0.09703434723282896,0.03946469241277682,0.0004639558582150014,0.004604092994551491,1.1971112054822743e-05,0.0010673521815314304,9.974774092281536e-06,0.0003295636562320667,3.215054587934304e-05
l,1.0874495288754524,0.23340017134195049,0.14901135115518743,0.0323402665046145,0.5303015589200218,0.06490488181701867,0.06063676260676287,0.012591917480757334,0.43153461756145456,0.00011321662069542173,0.010569819736383221,0.576571076300642,0.00460653782584987,0.06378390694804249,0.36549264841722334,0.2629870834216346,0.00023793337515214076,0.08626468395880398,0.05588067998722335,0.09844918163128188,0.34582949383408856,0.00041214214590713576,0.015221175189898593,0.0005932714958235521,0.014756455942544424,0.0012574854802534592
m,0.28486596900530925,0.0031290520718792116,0.002665030461122328,0.018176736981177066,0.3736636382769038,0.0006859251262001405,0.009858149369095683,0.012743241494253441,0.3177599464959571,0.00012978643857591143,0.001789193339253743,0.023020919388787198,0.09606901207061563,0.027749485704436465,0.5462568850726722,0.01595616355773069,3.5105899205982254e-05,0.1751329245044116,0.06519902425265864,0.02647908857415045,0.1383826156162727,0.00011271641904994861,0.0010899257668364492,0.00023297898850525641,0.023674882112168776,0.00016716920573703927
n,1.9851510793865494,0.002094651915026475,0.0008600191669265546,0.007569403327201283,1.4542484564787908,0.00041930778982821526,0.06563910133406574,0.025757977255456938,2.4327452898924897,0.00014721220985355752,0.051438830893253025,0.005869835738596113,0.008790070008427924,0.07276469489955757,1.758046422760261,0.0011893666270985813,6.595859488565936e-05,0.16036105108033558,0.009174955952463223,0.01001065175042166,0.3944130463793296,0.00015313078978854998,0.07898759689146778,5.7227089999539565e-05,0.013214179641135188,0.00015251901452022817
o,0.004626167371237559,0.1954105307751377,0.7938597245179739,0.18823497105864834,0.07250045774136436,0.48775356845157686,0.13212780817870803,0.48490206856948287,0.8349318507738293,0.05378966907487205,0.006076079686827678,0.38688419999310336,0.33687762253118664,0.4645749577986965,0.21025921710596876,0.3613731820145834,4.696884230031911e-05,0.7267244407620373,0.39773215837236386,1.041266530278283,0.010656740128132194,0.07110718485686386,0.22175431498151382,0.002698804321644084,0.14990161014310313,0.007181018489679211
p,0.2028459081852819,0.0005471310149691573,0.0013146047914100753,0.0017326765824048826,0.1715737389512778,0.00022211503009254794,0.0004118557641510953,0.0005921321042846898,0.08921120651337006,0.00021738226568634436,0.0007267775989613261,0.019030486604223393,0.2391752260327065,0.006035706136572198,0.2239110516949617,0.13654559840341754,9.652927103294834e-06,0.04161994370040799,0.19125422113792542,0.004294463459127656,0.1360124828938564,0.00019541506493423943,0.0007441508816942118,0.0668638321181966,0.024914324229578063,4.829818562684127e-05
q,0.00224438116339269,1.228891600725358e-05,0.005474539117290391,0.0007067476156284412,0.05725195733425061,5.299569759149632e-06,1.225763567179504e-05,0.00042293542211058253,0.011303759361811865,0.0,6.6405811473110855e-06,0.0001270694470799036,2.512442218467389e-05,0.0059500129128136296,0.0010365656994416638,3.8126863213571925e-05,6.072424568989777e-05,0.0009984375594797059,0.007443946555193908,8.928017741874647e-05,0.00025661674359005887,7.548987623994875e-06,0.0,0.0002917205503472973,1.3649929786796686e-05,3.2381034428260346e-05
r,1.0748984742942347,0.11155985184063137,0.14945583064235585,0.08544990498779348,2.0482648127014875,0.21318861484722396,0.19677786609059253,0.08439253556003175,0.3151723975321613,0.00024281548365428075,0.0027217223452914766,0.010051268485779453,0.003106055847393173,0.009151747362162302,1.2765390616045857,0.47447091587240103,6.186289245886825e-05,0.12074305480743341,0.005989948006394196,0.4258201782026581,0.5427477814999868,0.0008760351597293566,0.030761160268095306,3.218147156247212e-05,0.007791586450541088,0.00018869341026441332
s,0.8710950725934656,0.04583240412873036,0.022822966999227055,0.12626067496179288,1.3393937507580644,0.005509522093998982,0.05119317272931717,0.01468417088207966,1.128429882563713,0.00011806510815672873,0.04750889700828898,0.14151349134589522,0.09283316556428384,0.5089374518664006,0.28996676765999624,0.05457118644518548,0.00015777070621490044,0.39652727744364774,0.40507520885785736,0.33748821262235384,0.4542570592090613,0.0005767798787817088,0.03508411199128735,6.400552450731251e-05,0.09683226243432592,0.0002977626911538743
t,1.486732300999908,0.0171039221607454,0.4609717569833274,0.002895677114048111,0.41260824184390243,0.0816643643941075,0.015402639650801119,0.13018587622421166,1.1232737362990464,0.00010348222995204949,0.001033179549930427,0.1236370993149481,0.0013667842921305478,1.041251151241064,0.44210329815455557,0.10578213360448538,4.913725757311525e-05,0.3616764125225615,1.0534756583067857,0.17068330270812787,0.4051512681993427,0.0002192436584375253,0.006541432485103197,0.04666052494304905,0.016683904605210232,0.00023504047610071977
u,0.11903277430684266,0.1849441938716155,0.16261397695323246,0.14846077100445332,0.031152734742272863,0.09597491046570832,0.08576950869440064,0.07369276170545123,0.01740899395268762,0.05870242886563383,0.0030256752445994785,0.1351893577122505,0.11461853255601559,0.078644454874289,0.8700023193609326,0.1045402050905247,0.14754132569029318,0.12832875689173978,0.31117653434659404,0.25490671946763704,0.0007804796575974118,0.00221249596838625,0.0006951773316363763,0.004771072567687967,0.0013276847949034265,0.0021524859215574232
v,0.2049326470620682,0.0038439017199742107,0.0002081598865110163,0.019052697025543044,0.25478371547114026,2.8630976161762837e-05,4.228753794712046e-05,0.00022318263999992715,0.28784821891635826,6.099048319362484e-05,0.00015657758484812463,0.03490591288531265,0.0002898408575359161,0.05200714830640574,0.17808654499976906,0.00022066808405357617,2.253865205056695e-05,0.0692833068035106,0.0012414606566076537,0.0011634636011898067,0.0029170987885870376,9.301009143293054e-05,1.380033783972149e-05,0.0019533085273860866,0.00018143172649251558,0.00016380344873474672
w,0.059916263914503276,0.0002950660921668105,0.00013864150433361575,0.008162407911681682,0.1168057799384366,0.00022880434046992709,0.0006476265048634101,0.004774158645863246,0.0006246125832261312,4.1349411605227766e-05,0.0021781518269187194,0.01263889135912073,0.0005839477215472308,0.005797005116452936,0.33047804182783813,0.001207146447796729,5.791188818249761e-06,0.012757362047681435,0.023528201313365683,0.08237223232097947,0.00027749785704841957,2.6321870309869152e-05,0.0002616489764232601,0.00022316586494474362,0.003371689165411773,0.00022269634072576898
x,0.01883937857903907,2.761401060703075e-05,3.1093646472313536e-05,4.597276576779233e-05,0.21404459030375522,2.880188311933054e-05,1.9755198708017932e-05,9.362715102096136e-06,0.02203199193791771,5.736501429046732e-06,1.9698170613440456e-05,0.00030544297107023595,3.526428693631995e-05,0.0026208656774648997,0.01857541269441267,5.2256885858761226e-05,5.656881981082527e-06,0.001170019775082706,1.7866391331769583e-05,0.00011806014302411626,0.003934788366049721,1.5954176901776742e-05,5.3423762953156875e-06,0.0028041737630368994,0.00014935090526114474,3.8381893703688e-06
y,0.21736083500363623,0.1764684295250406,0.04171861457499762,0.050422739308256435,0.143745726447239,0.009098073817573505,0.02593998156813537,0.050089089986258495,0.00022157216377184053,3.972889871621736e-05,0.005949708692045417,0.425013516017651,0.06218641333591955,0.09791744504544292,0.03618128390812367,0.011763752370362692,0.0,0.24774012156725655,0.0568447139655051,0.22727710093077375,0.004567302106663002,0.004897224174539224,0.0024247208444323266,0.0025764015317761724,7.06828121707229e-05,0.0023574870970960865
z,0.011869129223989193,3.5726753573938307e-05,0.000730644125052819,7.804848000561889e-05,0.004523242832073589,9.357856365182507e-06,0.00012168809449358004,0.0003805413111384588,0.06433975365040388,7.826290280401158e-06,5.346738518968069e-06,0.0004173474136118815,3.4411277153498115e-05,0.00436906610163499,0.003472223489736102,0.0002263462097091935,0.0,0.0006381304759506693,0.0002497125493662587,0.0038489544871772876,0.0019106469730923157,1.7774784635069567e-05,0.0,4.8417490670472254e-06,0.0018122008062186259,0.0026603391555734385
