,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z
k,0.016251540413551254,3.661247509254159e-05,0.055434013980595866,0.0002592981719516972,0.002631969064284844,5.702676897761263e-05,0.00011591459486206424,1.4170611016461087e-05,0.011015474101519455,0.00026893885416316916,0.0002445727880367787,0.0073391588002813925,4.176284086848702e-05,0.01641801982716317,0.011494209718958771,0.0002521459334190261,0.0,0.018396454093587627,0.00945041104499165,2.728549464742246e-05,0.0023063310576078746,0.0,0.0007600323402057434,0.0,0.0001440454182660893,0.0
l,0.10731752220858991,0.09873097787905379,0.04019113437612834,0.011994385103756706,0.0517747237428425,0.027874201287952607,0.028803461193625268,0.0016668680396959034,0.051423264415099285,0.0,0.013907622373006762,0.16696615758499292,0.00089647801224975,0.010430903463777539,0.036535172781558746,0.12891996506691047,0.0009972344463891724,0.015856168175582858,0.011247898395666244,0.009791379652831202,0.09464924652297062,0.000227445263610771,0.004617875848391639,0.00111325822015703,0.01355499821338877,0.009393003045265299
m,0.033157334580280036,0.0017619412017105007,0.00031630010228557263,0.006291658972431772,0.03189803040717543,0.0003642816811074926,0.002383268250396507,0.0011997884576457796,0.0319867662522032,0.0,0.002370853140974298,0.005139352457420035,0.03171840395975765,0.003920693613311696,0.06469663177228116,0.005977984056981243,0.0,0.021909845822770207,0.00988415019934319,0.002704928421347058,0.03212244138186233,2.991300512991991e-05,0.0002409068277803944,0.0007399090971295324,0.01762666851755512,0.0
n,0.21445457739274093,0.00038833883642823387,0.00021054729205395294,0.014610931971649505,0.12833162048599572,6.72393177307245e-05,0.03242594454777883,0.0035613231563416995,0.28034675587681135,0.00015486968878777483,0.10459943971158321,0.0007446522039586943,0.003054306075875451,0.01414796389130513,0.18730437647758838,0.0002783560249065655,0.0,0.02582743241397851,0.006897145021244496,0.0011491881135711531,0.11491317772704394,0.0,0.037350737479489526,0.0,0.00739695620693039,0.0
o,0.0003040882391864284,0.12009537791098164,0.19384884570736288,0.13938757033156088,0.010382046882393837,0.30064859975199404,0.14123315897809072,0.09283624478045564,0.06624420660153164,0.2538351671739039,0.008711874980445268,0.09492727349643859,0.1221031197620326,0.07913908611929746,0.032877343996638914,0.13276470952981478,0.0,0.11480089927967542,0.10204440000284593,0.1372536381512354,0.0013969050959695875,0.04310163824093903,0.12318106184451452,0.005245048203086763,0.5362469873311005,0.08112122863452881
p,0.017997727339044353,0.00015805251490465548,0.00020660021333872503,0.0006307493995856285,0.015861345445063894,8.442958393349772e-05,0.0003683952504295657,0.00012395740845104442,0.00850018343006769,0.0010600985358692671,0.0014570523170585865,0.0064131682053817545,0.06662691092085621,0.0004997098491351399,0.027532446172748085,0.058256923749783286,0.00047703310651069845,0.004889681712979102,0.03536138817475128,0.00048067792400752657,0.05091785936025855,0.00026849691837807087,0.00018839560254987718,0.28100192749216024,0.018334370580887438,0.0005887703375387205
q,0.0002394196479729109,4.821590914540242e-05,0.0008816505724699764,0.00042235842648987435,0.00313388223638998,0.0,0.0,0.00013112219076212564,0.0007553432138661766,0.0,0.0,0.0,0.0,0.00032312971965078933,2.4050623582052607e-05,0.0,0.0,6.453796560632593e-05,0.0013712566584856902,0.0,4.281391469642853e-05,0.0,0.0,0.0006104257271924995,0.0,0.0
r,0.11210055171360962,0.05796002285317276,0.03820822915774102,0.043686332318519726,0.19545492335095438,0.12530477701710993,0.09943685881684858,0.013300384760196078,0.03359237707657209,0.003085546431134596,0.003883370816482364,0.0034505797721006756,0.00536916604419116,0.0008632735294516375,0.1434824303797571,0.16409549729293593,0.00038779850749800463,0.019499694435840004,0.0013996206295904161,0.03956390638665567,0.16422314716346478,0.00025520828552169525,0.013798408878433891,0.0,0.006143100280790332,0.0012571923102349825
s,0.0940439080884563,0.017332260089489095,0.004940991159176925,0.056640212097942955,0.11588345287565789,0.0022893148935636118,0.032171417624214826,0.0022486904720554757,0.1247411105645821,0.0005978667230427842,0.10221460132326549,0.0348511098163826,0.025563022752025464,0.05927025832318468,0.029480172268449973,0.021362074004280487,0.0,0.06622072246460153,0.07204816636455795,0.03405795323162943,0.14826786822942442,0.001538813225839598,0.017947732638163395,0.0,0.11409378007060497,0.0013048688113965912
t,0.14699422793132663,0.004756363167981441,0.09539503263374868,0.000713763635848542,0.046595439493001996,0.04725463555991881,0.006083614150014566,0.026602744174158383,0.13475333452329388,0.0002137023258154874,0.001421174884228909,0.023251236367349555,0.0003941592591385726,0.1342744638788184,0.054371598718189466,0.031885517546971845,0.00046474361789285677,0.05807057537632022,0.236913442734757,0.019451811482866094,0.14619399924133064,0.00014386407717922477,0.0020751253025656233,0.22400287888184675,0.02749443934113671,0.0005370741614993372
u,0.013604085303734196,0.11848865349464115,0.03458051982347301,0.05459508939995274,0.0024336727763665704,0.057149732693286895,0.05374967508267667,0.009775592202519163,0.0010545941180661385,0.456800247432104,0.00400042484250747,0.024591878707306995,0.03949819842156141,0.010906330101787997,0.14558960230912446,0.042062694908059285,0.9860147119863543,0.020369464706491446,0.05451940828100456,0.022441829030445025,0.00013930830983219152,0.000913294454803426,0.00013305295558849683,0.024843161204356975,0.001768784205239067,0.014771356547779049
v,0.027802385527643653,0.001748020506415819,5.156280064149136e-05,0.00829915278328365,0.02848517782809279,0.0,0.0,3.903544865636363e-05,0.027268124431449246,0.0,0.0,0.005966042597504662,0.00011827074524898106,0.006641239381127575,0.021770085209382305,9.867467656083952e-05,0.0,0.00943207262409885,6.803404540553019e-05,0.0006260688667049938,0.000511597967895662,5.697960176473315e-05,0.0,0.0013503269599060333,0.00014095432285404481,0.00089117087530344
w,0.007012003336834249,0.0003088981653235252,2.0484460319919046e-05,0.0031515254123325154,0.013873086166334635,0.00034469318576542407,0.00021228437023745476,0.0005198578566948128,5.059833960393522e-05,0.0,0.0021013461298253497,0.004565512566426084,0.0001971974705480567,0.0006006310360430931,0.04600335956608424,0.000176179557938032,0.0,0.0020900979957659714,0.005742797096845166,0.008878236093743512,6.181156149931621e-05,5.555054572164634e-05,0.000371711355524986,0.0009450677586225663,0.007887447650164862,0.0
x,0.0015575762369290725,0.0,0.0,2.3057380544697753e-05,0.017995191631953542,6.621734466420719e-05,0.0,8.955520638130203e-06,0.0021299622531541188,0.0,0.0,0.0,2.5196547211682706e-05,0.0001926755062044823,0.0015103976187562087,3.5181545278090666e-05,0.0,7.665994697518017e-05,0.0,1.4200817679373519e-05,0.0007162180773978446,0.0,0.0,0.0016883610421279795,0.0,0.0
y,0.03444714799867581,0.08577399607847,0.008442904303323246,0.028760226976135422,0.018291706452172752,0.0036586121582821143,0.01162733384168076,0.007791592597672233,1.6924027037009302e-05,0.0,0.013432375899616383,0.09305425964826947,0.050171311056961224,0.018988664625523077,0.004468466584523329,0.005992617804920468,0.0,0.04362333467355502,0.009066192677785441,0.01986190793300083,0.007002307435324834,0.0037760416621934766,0.001186671362804792,0.011184996866743596,0.0,0.06233361144092671
z,0.0018600493335930938,0.0,0.00012702731173974845,3.109309955660197e-05,0.00042601715291055927,0.0,3.588264199766231e-05,4.319807458516626e-05,0.0045637341571642025,0.0,0.0,6.395987338655558e-05,0.0,0.00034322622663117414,0.00031531520065980256,3.770232121498522e-05,0.0,2.9628750707362205e-05,0.0,0.00021009218618479856,0.0006219936997215863,0.0,0.0,0.0,0.0010265592251839787,0.040710430626213295
